OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
2021,2021-08-31,1913,2021,2021-09-23,954,D14,Religious Place of Worship/Cultural Centre,NO,NO,none,None,None,jewish,none,None,NO,Harassing Communications,079,University (79),079,University (79),YES
2021,2021-09-01,1900,2021,2021-09-01,2036,D51,Streets/Roadways/Highway,NO,NO,white,None,None,none,none,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),YES
2021,2021-09-03,15,2021,2021-09-03,31,D51,Streets/Roadways/Highway,NO,NO,none,None,None,none,gay,None,NO,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO
2021,2021-09-03,1605,2021,2021-09-03,1605,D13,"Open Area, Park or Parking Lot",NO,NO,none,None,None,none,2slgbtq+,None,NO,Mischief Under $5000,094,Wychwood (94),094,Wychwood (94),NO
2021,2021-09-10,1954,2021,2021-09-16,1626,D11,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,none,Korean,None,none,none,None,NO,Uttering Threats - Bodily Harm,091,Weston-Pelham Park (91),091,Weston-Pelham Park (91),YES
2021,2021-09-11,1900,2021,2021-09-11,1934,D43,Streets/Roadways/Highway,NO,NO,none,None,None,muslim,none,None,NO,Assault,156,Bendale-Glen Andrew (156),127,Bendale (127),NO
2021,2021-09-11,500,2021,2021-09-11,1344,D52,Other Commercial / Corporate Places ,NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),NO
2021,2021-09-11,1938,2021,2021-09-11,1959,D32,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,none,None,None,jewish,none,None,NO,Harassing Communications,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),NO
2021,2021-09-11,1250,2021,2021-09-11,1250,D55,Business/Retail,NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),NO
2021,2021-09-11,1230,2021,2021-09-11,1607,D32,Public Transportation,NO,NO,none,None,None,jewish,none,None,NO,Assault,105,Lawrence Park North (105),105,Lawrence Park North (105),YES
2021,2021-09-13,2030,2021,2021-09-14,838,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,Indian,None,muslim,none,None,YES,Uttering Threats - Bodily Harm,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),YES
2021,2021-09-13,1014,2021,2021-09-13,1014,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,105,Lawrence Park North (105),105,Lawrence Park North (105),NO
2021,2021-09-14,1626,2021,2021-09-14,1626,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,Israeli,None,jewish,none,None,YES,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO
2021,2021-09-14,2300,2021,2021-09-16,1345,D13,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,black,None,None,none,none,None,NO,Mischief Under $5000,107,Oakwood Village (107),107,Oakwood Village (107),NO
2021,2021-09-15,1600,2021,2021-09-15,1919,D55,"Open Area, Park or Parking Lot",NO,NO,none,None,None,muslim,none,None,NO,Assault With a Weapon,059,Danforth East York (59),059,Danforth East York (59),YES
2021,2021-09-16,1429,2021,2021-09-16,1429,D52,Streets/Roadways/Highway,NO,NO,none,Arab,None,none,none,None,NO,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),YES
2021,2021-09-17,951,2021,2021-09-17,951,D51,Other Commercial / Corporate Places ,NO,NO,black,None,None,none,none,None,NO,Uttering Threats - Bodily Harm,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES
2021,2021-09-18,2315,2021,2021-09-18,2327,D14,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,none,gay,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO
2021,2021-09-18,1500,2021,2021-09-18,2116,D14,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),NO
2021,2021-09-20,1430,2021,2021-09-20,1701,D51,Public Transportation,NO,NO,none,None,None,none,2slgbtq+,None,NO,Criminal Harassment,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO
2021,2021-09-21,1515,2021,2021-09-22,933,D55,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,black,None,None,jewish,none,None,YES,Mischief Under $5000,064,Woodbine Corridor (64),064,Woodbine Corridor (64),NO
2021,2021-09-21,900,2021,2021-09-24,902,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,035,Westminster-Branson (35),035,Westminster-Branson (35),NO
2021,2021-09-23,1930,2021,2021-09-24,954,D52,Public Transportation,NO,NO,east/southeast asian,None,None,none,none,None,NO,Assault,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),NO
2021,2021-09-24,1,2021,2021-09-28,1743,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,none,none,Transgender,NO,Harassing Communications,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO
2021,2021-09-26,0,2021,2021-10-19,1353,D53,Other Commercial / Corporate Places ,NO,NO,south asian,None,None,none,none,None,NO,Harassing Communications,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),NO
2021,2021-09-26,1210,2021,2021-09-26,1241,D52,Streets/Roadways/Highway,NO,NO,east/southeast asian,None,None,none,none,None,NO,Assault,079,University (79),079,University (79),NO
2021,2021-09-27,1000,2021,2021-09-27,1645,D14,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,muslim,none,Woman,YES,Uttering Threats - Bodily Harm,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),NO
2021,2021-09-28,1415,2021,2021-09-28,1429,D52,Streets/Roadways/Highway,NO,NO,black,None,None,none,none,None,NO,Assault Causing Bodily Harm,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),YES
2021,2021-09-29,1200,2021,2021-10-08,1316,D55,Streets/Roadways/Highway,NO,NO,none,None,None,none,lesbian,None,NO,Criminal Harassment,058,Old East York (58),058,Old East York (58),NO
2021,2021-09-30,1228,2021,2021-09-30,1344,D51,Streets/Roadways/Highway,NO,NO,black,None,None,none,none,None,NO,Assault,074,North St.James Town (74),074,North St.James Town (74),NO
2021,2021-10-01,1200,2021,2021-11-03,1105,D13,Other Commercial / Corporate Places ,NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),NO
2021,2021-10-02,1719,2021,2021-10-02,1719,D53,Streets/Roadways/Highway,NO,NO,none,Iranian,None,none,none,None,NO,Assault Causing Bodily Harm,103,Lawrence Park South (103),103,Lawrence Park South (103),YES
2021,2021-10-05,1645,2021,2021-10-05,1744,D14,Streets/Roadways/Highway,NO,NO,none,None,None,none,gay,None,NO,Assault,079,University (79),079,University (79),NO
